id,max_temp,min_temp,min_temp_by_month,max_temp_by_month,meta
13857,22.631999999999998,18.834,"[20.854, 21.599, 22.404, 22.366, 21.989, 21.302, 20.123, 19.563, 18.834, 18.914, 19.487000000000002, 20.054000000000002]","[21.313000000000002, 22.044, 22.631999999999998, 22.476, 22.125, 21.47, 20.33, 19.7, 19.008, 19.113, 19.692999999999998, 20.392]","{""source"": {""lat"": -32.5, ""lng"": 115.5, ""dist_euclid"": 0.4989040088032957}}"
13858,22.631999999999998,18.834,"[20.854, 21.599, 22.404, 22.366, 21.989, 21.302, 20.123, 19.563, 18.834, 18.914, 19.487000000000002, 20.054000000000002]","[21.313000000000002, 22.044, 22.631999999999998, 22.476, 22.125, 21.47, 20.33, 19.7, 19.008, 19.113, 19.692999999999998, 20.392]","{""source"": {""lat"": -32.5, ""lng"": 115.5, ""dist_euclid"": 0.4978331547817995}}"
13859,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.2148583991560484}}"
13860,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.2318078583935101}}"
13861,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.2089579397150267}}"
13862,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.1954278397293587}}"
13863,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.3107787608898755}}"
13864,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.320610180939097}}"
13865,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.1582243737721984}}"
13866,29.92,25.090999999999998,"[28.149, 28.316, 27.858, 28.139, 27.854, 26.211, 25.756999999999998, 25.090999999999998, 25.428, 26.07, 26.899, 27.941999999999997]","[28.245, 28.426, 29.92, 28.833000000000002, 27.982, 26.421999999999997, 25.954, 25.221, 25.553, 26.377, 27.081999999999997, 28.392]","{""source"": {""lat"": -5.5, ""lng"": 40.5, ""dist_euclid"": 1.1547208580431865}}"
